
###1time/s  2tem/K       3e33/pct   4s33/MPa       5g32/pct   6s32/MPa   7faza      8Ro/MPa   9iz     10bf_max 11kdmg
  0.000000   400.0     0.000000   0.000000     0.000000   0.000000  0.000000      0.000000     0     0.000000     0
     0.625  400.0     0.000893   0.625000     0.000000   0.000000  0.00000      0.000000     0     0.000000     0
      1.25  400.0     0.001786   1.250000     0.000000   0.000000  0.00000      0.000000     0     0.000000     0
      1.88  400.0     0.002679   1.875000     0.000000   0.000000  0.00000      0.000000     0     0.000000     0
       2.5  400.0     0.003571   2.500000     0.000000   0.000000  0.00000      0.000000     0     0.000000     0
      3.13  400.0     0.004464   3.125000     0.000000   0.000000  0.00000      0.000000     0     0.000000     0
      3.75  400.0     0.005357   3.750000     0.000000   0.000000  0.00000      0.000000     0     0.000000     0
      4.38  400.0     0.006250   4.375000     0.000000   0.000000  0.00000      0.000000     0     0.000000     0
         5  400.0     0.007143   5.000000     0.000000   0.000000  0.00000      0.000000     0     0.000000     0
      5.63  400.0     0.008036   5.625000     0.000000   0.000000  0.00000      0.000000     0     0.000000     0
      6.25  400.0     0.008929   6.250000     0.000000   0.000000  0.00000      0.000000     0     0.000000     0
      6.88  400.0     0.009821   6.875000     0.000000   0.000000  0.00000      0.000000     0     0.000000     0
       7.5  400.0     0.010714   7.500000     0.000000   0.000000  0.00000      0.000000     0     0.000000     0
      8.13  400.0     0.011607   8.125000     0.000000   0.000000  0.00000      0.000000     0     0.000000     0
      8.75  400.0     0.012500   8.750000     0.000000   0.000000  0.00000      0.000000     0     0.000000     0
      9.38  400.0     0.013393   9.375000     0.000000   0.000000  0.00000      0.000000     0     0.000000     0
        10  400.0     0.014286  10.000000     0.000000   0.000000  0.00000      0.000000     0     0.000000     0
      10.6  400.0     0.015179  10.625000     0.000000   0.000000  0.00000      0.000000     0     0.000000     0
      11.3  400.0     0.016071  11.250000     0.000000   0.000000  0.00000      0.000000     0     0.000000     0
      11.9  400.0     0.016964  11.875000     0.000000   0.000000  0.00000      0.000000     0     0.000000     0
      12.5  400.0     0.017857  12.500000     0.000000   0.000000  0.00000      0.000000     0     0.000000     0
      13.1  400.0     0.018750  13.125000     0.000000   0.000000  0.00000      0.000000     0     0.000000     0
      13.8  400.0     0.019643  13.750000     0.000000   0.000000  0.00000      0.000000     0     0.000000     0
